session_id,exercise_order,exercise_name,set_order,reps,weight,unit,amrap,notes
W0003,1,Exercise 1,1,,70,lbs,false,
W0003,1,Exercise 1,2,,85,lbs,false,
W0003,1,Exercise 1,3,,120,lbs,false,
W0003,1,Exercise 1,4,,130,lbs,false,
W0003,2,Barbell overhead press,1,,135,lbs,false,
W0003,2,Barbell overhead press,2,,125,lbs,false,
W0003,2,Barbell overhead press,3,,115,lbs,false,
W0003,2,Barbell overhead press,4,,95,lbs,false,
W0003,2,Barbell overhead press,5,,,,true,
W0003,3,Seated chest cable flys (30lbs each side),1,,35,lbs,false,
W0003,3,Seated chest cable flys (30lbs each side),2,,40,lbs,false,
W0003,4,Exercise 2,1,,35,lbs,false,
W0003,4,Exercise 2,2,,,,true,
W0003,5,Exercise 3,1,,75,lbs,false,
W0003,6,Feet elevated diamond pushups,1,,,,true,
W0003,6,Feet elevated diamond pushups,2,,,,true,
W0003,6,Feet elevated diamond pushups,3,,,,true,
W0003,7,Exercise 4,1,,25,s,false,
W0003,8,Exercise 5,1,,30,s,false,
W0004,1,Weighted Pullups,1,,,,false,Strength Ladder (Wide Grip)
W0004,2,Exercise 1,1,,25,lbs,false,
W0004,3,Exercise 2,1,,25,lbs,false,
W0004,4,Exercise 3,1,,15,lbs,false,
W0004,5,Exercise 4,1,,15,lbs,false,
W0004,6,Exercise 5,1,,,,true,
W0005,1,Chest,1,,135,lbs,false,
W0005,2,Exercise 1,1,,115,lbs,false,
W0005,2,Exercise 1,2,,,,true,
W0006,1,Superset,1,,,,false,Rear Delts + Grip & Scap Stability
W0006,2,Reverse Pec Deck,1,,150,lbs,false,
W0006,3,Band Pull,1,,,,false,Aparts x 30
W0007,1,Round 1,1,,97,lb,false,
W0007,1,Round 1,2,,50,lb,false,
W0007,2,Round 3,1,,,,false,Repeat R1
W0007,3,Round 4,1,,,,false,Repeat R2
W0009,1,Exercise 1,1,,100,s,false,
W0009,2,Exercise 2,1,,90,s,false,
W0009,3,Exercise 3,1,,80,s,false,
W0009,3,Exercise 3,2,,,,true,
W0010,1,Seated Machine Shoulder Press (Plate,1,,,,false,Loaded)
W0010,2,Exercise 1,1,,90,lbs,false,
W0010,3,Exercise 2,1,,70,lbs,false,
W0011,1,Seated Cable Fly (Mid,1,,,,false,Chest )
W0011,2,Exercise 1,1,,30,lbs,false,
W0011,3,Exercise 2,1,,35,lbs,false,
W0011,4,Exercise 3,1,,25,lbs,false,
W0012,1,Weighted Dips,1,,,,false,Controlled Descent
W0012,2,Exercise 1,1,,25,lbs,false,
W0012,3,Exercise 2,1,,,,false,Bodyweight x 1 x 12
W0012,4,Exercise 3,1,1,,,true,
W0013,1,Dumbbell Lateral Raises (25s),1,,,,false,x10
W0013,2,Rear Delt DB Flys (25s),1,,,,false,x20
W0013,3,Arnold Press (30s),1,,,,false,x12
W0013,4,Diamond Pushups (feet elevated),1,,,,true,
W0015,1,Chest,1,,,,false,Supported Dumbbell Seal Rows
W0015,2,Exercise 1,1,12,65,s,false,
W0015,2,Exercise 1,2,12,70,s,false,
W0016,1,Lat Pulldown,1,,,,false,High Stretch Focus (Wide Neutral Grip)
W0016,2,Exercise 1,1,,145,lbs,false,
W0017,1,Exercise 1,1,12,130,lbs,false,
W0017,2,Exercise 2,1,12,145,lbs,false,
W0017,3,Exercise 3,1,15,115,lbs,false,
W0019,1,Incline Dumbbell Curls,1,,,,false,Long Head Biceps Stretch
W0019,2,Exercise 1,1,12,30,s,false,
W0020,1,EZ Bar Preacher Curls,1,,,,false,Isolation Pump
W0020,2,Exercise 1,1,12,75,lbs,false,
W0020,3,Exercise 2,1,1,,,true,
W0020,3,Exercise 2,2,,45,lbs,false,
W0021,1,Exercise 1,1,12,80,lbs,false,
W0021,2,Exercise 2,1,20,60,lbs,false,
W0022,1,Dumbbell Zottman Curls,1,,,,false,Forearm + Biceps
